SA2 code,5 year growth rate
306031159,0.10
306031160,0.46
306031161,0.79
306031162,0.00
306031163,1.18
306041164,0.84
306041165,1.42
306051166,1.02
306051167,-0.09
306051168,0.35
306051169,0.49
306051170,1.39
307011171,-1.92
307011172,2.58
307011173,-0.18
307011174,-0.39
307011175,1.53
307011176,-0.93
307011177,-1.19
307011178,-0.92
307021179,0.96
307021180,-0.36
307021181,0.32
307021182,1.12
307021183,-0.26
307031184,1.11
307031185,0.30
307031186,0.36
307031187,-0.37
307031188,1.09
307031189,-0.15
308011190,-0.60
308011191,-2.50
308011192,0.27
308031205,-1.90
308031206,-1.42
308031207,2.42
308031208,-1.29
308031209,1.64
308031210,3.42
308031211,-1.72
308031212,-1.45
308031213,1.78
308031214,-1.70
308031215,0.58
308031216,-0.95
308031217,-2.47
308031218,0.44
308031219,0.28
308031220,0.08
308031221,4.24
308031222,-1.06
308031223,1.28
308041528,-0.88
308041529,-1.13
308051530,0.62
308051531,0.10
308051532,-12.94
308051533,2.11
308051534,-1.14
308051535,0.27
308051536,-2.52
308051537,
308051538,1.22
308051539,-1.93
309011224,0.29
309011225,1.10
309011226,0.27
309011227,2.32
309011228,0.39
309011229,1.19
309021230,1.89
309021231,1.58
309021232,0.53
309021233,1.00
309021234,0.97
309031235,0.73
309031236,5.09
309031237,0.43
309031238,1.72
309031239,1.22
309031240,0.35
309041241,1.22
309041242,1.93
309051243,1.14
309051244,1.19
309051245,2.66
309061246,1.23
309061247,-0.25
309061248,1.26
309061249,1.52
309061250,1.07
309071251,8.94
309071252,0.93
309071253,5.48
309071254,2.44
309071255,4.73
309071256,2.25
309071257,27.16
309071258,4.15
309081259,0.20
309081260,1.75
309081261,2.39
309081262,1.44
309091263,0.36
309091264,0.19
309091265,-0.04
309091540,3.14
309091541,1.80
309101267,1.50
309101268,1.38
309101269,1.29
309101270,3.39
312011337,-0.52
312011338,-4.34
312011339,-1.36
312011340,-3.91
312011341,-0.14
312021342,0.41
312021343,-1.20
312021344,1.92
312021345,12.20
312021346,-1.32
312021347,-0.14
312021348,-0.10
312021349,-2.73
312021350,1.71
312021351,1.03
312021352,-0.84
312021353,-0.90
312021354,0.64
312021355,-3.18
312021356,-2.38
312021357,-1.38
312021358,-1.74
312031359,2.98
312031360,
312031361,-0.04
315011395,0.47
315011396,1.70
315011397,-1.40
315011398,0.35
315011399,3.21
315011400,1.12
315011401,1.08
315011402,1.60
315011403,1.96
315021404,-0.68
315021405,-2.66
315021406,-2.87
315021407,-2.75
315031408,-2.84
315031409,-1.62
315031410,-2.41
315031411,-3.27
315031412,-2.97
316011413,1.55
316011414,1.99
316011415,7.55
316011416,2.40
316021417,0.82
316021418,0.42
316021419,1.62
316021420,6.29
316021421,3.09
316021422,0.11
316021423,0.98
316021424,4.84
316031425,2.01
316031426,1.67
316031427,1.93
316031428,0.94
316051434,2.08
316051435,1.95
316051437,1.10
316051438,0.31
316051543,-0.03
316051544,10.66
316061439,2.57
316061440,1.18
316061441,1.57
316061442,2.52
